,G,Date,Start (ET),Venue,Opponent,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
571,24,2023-12-16,7:00p,Home,Philadelphia 76ers,82,135,7,17,L 4,L,33,91,7,35,0.2,9,11,0.818,8,36,15,3,4,11,14,2024,Charlotte Hornets
572,25,2023-12-18,7:30p,Away,Toronto Raptors,99,114,7,18,L 5,L,39,89,8,32,0.25,13,13,1,10,36,18,8,6,12,19,2024,Charlotte Hornets
573,26,2023-12-20,7:00p,Away,Indiana Pacers,113,144,7,19,L 6,L,45,95,8,31,0.258,15,19,0.789,16,37,23,6,0,10,18,2024,Charlotte Hornets
574,27,2023-12-23,7:00p,Home,Denver Nuggets,95,102,7,20,L 7,L,34,88,8,28,0.286,19,23,0.826,13,47,23,8,11,17,15,2024,Charlotte Hornets
575,28,2023-12-26,10:30p,Away,Los Angeles Clippers,104,113,7,21,L 8,L,43,93,6,29,0.207,12,16,0.75,8,42,31,8,6,11,23,2024,Charlotte Hornets
576,29,2023-12-28,10:30p,Away,Los Angeles Lakers,112,133,7,22,L 9,L,40,85,15,33,0.455,17,28,0.607,8,43,29,5,5,19,14,2024,Charlotte Hornets
577,30,2023-12-29,9:00p,Away,Phoenix Suns,119,133,7,23,L 10,L,44,92,23,46,0.5,8,8,1,8,26,32,5,3,6,17,2024,Charlotte Hornets
578,31,2024-01-01,9:00p,Away,Denver Nuggets,93,111,7,24,L 11,L,36,86,10,26,0.385,11,16,0.688,8,45,24,4,5,12,15,2024,Charlotte Hornets
579,32,2024-01-02,10:00p,Away,Sacramento Kings,111,104,8,24,W 1,W,42,82,12,34,0.353,15,19,0.789,4,35,23,8,10,14,15,2024,Charlotte Hornets
580,33,2024-01-05,8:00p,Away,Chicago Bulls,91,104,8,25,L 1,L,36,89,10,34,0.294,9,12,0.75,12,42,20,7,1,11,20,2024,Charlotte Hornets
581,34,2024-01-08,7:00p,Home,Chicago Bulls,112,119,8,26,L 2,L,40,94,17,42,0.405,15,17,0.882,14,44,26,3,7,12,22,2024,Charlotte Hornets
582,35,2024-01-10,7:00p,Home,Sacramento Kings,98,123,8,27,L 3,L,35,87,16,38,0.421,12,16,0.75,8,36,17,2,3,8,16,2024,Charlotte Hornets
583,36,2024-01-12,8:00p,Away,San Antonio Spurs,99,135,8,28,L 4,L,32,89,10,34,0.294,25,28,0.893,16,44,22,11,3,19,24,2024,Charlotte Hornets
584,37,2024-01-14,6:00p,Away,Miami Heat,87,104,8,29,L 5,L,33,95,10,41,0.244,11,15,0.733,17,50,17,5,3,13,17,2024,Charlotte Hornets
585,38,2024-01-17,8:00p,Away,New Orleans Pelicans,112,132,8,30,L 6,L,39,90,19,45,0.422,15,18,0.833,15,41,29,7,8,13,19,2024,Charlotte Hornets
586,39,2024-01-19,7:00p,Home,San Antonio Spurs,124,120,9,30,W 1,W,47,84,16,29,0.552,14,16,0.875,10,40,25,9,4,17,16,2024,Charlotte Hornets
587,40,2024-01-20,7:00p,Home,Philadelphia 76ers,89,97,9,31,L 1,L,35,85,9,37,0.243,10,14,0.714,7,47,23,2,7,16,20,2024,Charlotte Hornets
588,41,2024-01-22,8:00p,Away,Minnesota Timberwolves,128,125,10,31,W 1,W,50,88,14,37,0.378,14,18,0.778,7,35,30,8,4,10,20,2024,Charlotte Hornets
589,42,2024-01-24,7:00p,Away,Detroit Pistons,106,113,10,32,L 1,L,38,87,15,38,0.395,15,19,0.789,9,48,27,5,5,11,22,2024,Charlotte Hornets
590,43,2024-01-26,7:00p,Home,Houston Rockets,104,138,10,33,L 2,L,35,85,9,29,0.31,25,32,0.781,5,32,20,6,7,13,25,2024,Charlotte Hornets
591,44,2024-01-27,7:00p,Home,Utah Jazz,122,134,10,34,L 3,L,47,92,13,32,0.406,15,21,0.714,9,35,35,7,6,10,22,2024,Charlotte Hornets
592,1,2023-10-25,7:00p,Away,Indiana Pacers,120,143,0,1,L 1,L,44,96,9,24,0.375,23,29,0.793,11,45,28,6,9,14,11,2024,Washington Wizards
593,2,2023-10-28,7:00p,Home,Memphis Grizzlies,113,106,1,1,W 1,W,40,93,16,46,0.348,17,22,0.773,11,45,24,9,5,11,15,2024,Washington Wizards
594,3,2023-10-30,7:00p,Home,Boston Celtics,107,126,1,2,L 1,L,39,87,11,36,0.306,18,26,0.692,11,40,26,12,4,15,13,2024,Washington Wizards
595,4,2023-11-01,7:30p,Away,Atlanta Hawks,121,130,1,3,L 2,L,51,101,10,40,0.25,9,14,0.643,6,35,32,14,3,11,25,2024,Washington Wizards
596,5,2023-11-03,8:00p,Away,Miami Heat,114,121,1,4,L 3,L,46,81,13,28,0.464,9,17,0.529,4,30,33,7,4,20,18,2024,Washington Wizards
597,6,2023-11-06,7:00p,Away,Philadelphia 76ers,128,146,1,5,L 4,L,49,96,14,34,0.412,16,20,0.8,10,38,31,6,10,19,26,2024,Washington Wizards
598,7,2023-11-08,7:00p,Away,Charlotte Hornets,132,116,2,5,W 1,W,47,97,18,43,0.419,20,25,0.8,13,40,26,10,6,10,26,2024,Washington Wizards
599,8,2023-11-10,7:00p,Home,Charlotte Hornets,117,124,2,6,L 1,L,43,88,14,38,0.368,17,20,0.85,7,36,28,4,6,15,23,2024,Washington Wizards
600,9,2023-11-12,3:00p,Away,Brooklyn Nets,94,102,2,7,L 2,L,33,88,10,41,0.244,18,25,0.72,7,42,20,14,3,12,15,2024,Washington Wizards
601,10,2023-11-13,7:30p,Away,Toronto Raptors,107,111,2,8,L 3,L,43,84,12,26,0.462,9,12,0.75,8,38,32,11,5,22,22,2024,Washington Wizards
602,11,2023-11-15,7:00p,Home,Dallas Mavericks,117,130,2,9,L 4,L,43,89,12,36,0.333,19,23,0.826,8,46,23,6,1,12,22,2024,Washington Wizards
603,12,2023-11-17,7:00p,Home,New York Knicks,99,120,2,10,L 5,L,37,82,10,32,0.313,15,16,0.938,7,32,25,4,4,14,18,2024,Washington Wizards
604,13,2023-11-20,7:00p,Home,Milwaukee Bucks,129,142,2,11,L 6,L,55,99,10,29,0.345,9,11,0.818,5,26,29,6,4,4,19,2024,Washington Wizards
605,14,2023-11-22,7:00p,Away,Charlotte Hornets,114,117,2,12,L 7,L,44,97,11,32,0.344,15,18,0.833,11,47,26,7,3,10,18,2024,Washington Wizards
606,15,2023-11-24,8:00p,Away,Milwaukee Bucks,128,131,2,13,L 8,L,48,100,15,37,0.405,17,21,0.81,12,46,29,3,4,8,24,2024,Washington Wizards
607,16,2023-11-25,7:00p,Home,Atlanta Hawks,108,136,2,14,L 9,L,43,88,10,38,0.263,12,12,1,8,41,33,5,6,20,17,2024,Washington Wizards
608,17,2023-11-27,7:00p,Away,Detroit Pistons,126,107,3,14,W 1,W,45,89,10,29,0.345,26,28,0.929,6,46,29,8,6,15,19,2024,Washington Wizards
609,18,2023-11-29,7:00p,Away,Orlando Magic,120,139,3,15,L 1,L,41,87,11,29,0.379,27,35,0.771,7,29,28,14,3,10,20,2024,Washington Wizards
610,19,2023-12-01,7:00p,Away,Orlando Magic,125,130,3,16,L 2,L,45,89,13,28,0.464,22,31,0.71,8,40,25,8,5,14,29,2024,Washington Wizards
611,20,2023-12-06,7:00p,Home,Philadelphia 76ers,126,131,3,17,L 3,L,52,92,14,35,0.4,8,8,1,2,32,39,8,6,11,22,2024,Washington Wizards
612,21,2023-12-08,7:30p,Away,Brooklyn Nets,97,124,3,18,L 4,L,38,91,6,33,0.182,15,21,0.714,12,41,19,4,7,16,19,2024,Washington Wizards
613,22,2023-12-11,7:00p,Away,Philadelphia 76ers,101,146,3,19,L 5,L,36,85,9,31,0.29,20,31,0.645,13,44,21,5,2,22,19,2024,Washington Wizards
614,23,2023-12-13,7:00p,Home,New Orleans Pelicans,122,142,3,20,L 6,L,42,82,19,44,0.432,19,24,0.792,3,33,28,7,6,15,16,2024,Washington Wizards
615,24,2023-12-15,7:00p,Home,Indiana Pacers,137,123,4,20,W 1,W,52,92,13,27,0.481,20,26,0.769,8,47,36,7,8,17,18,2024,Washington Wizards
616,25,2023-12-17,8:00p,Away,Phoenix Suns,108,112,4,21,L 1,L,39,95,14,46,0.304,16,20,0.8,10,44,24,8,6,10,25,2024,Washington Wizards
617,26,2023-12-18,10:00p,Away,Sacramento Kings,131,143,4,22,L 2,L,44,85,18,38,0.474,25,30,0.833,5,39,26,3,6,11,21,2024,Washington Wizards
618,27,2023-12-21,10:00p,Away,Portland Trail Blazers,118,117,5,22,W 1,W,42,84,12,30,0.4,22,32,0.688,7,37,26,9,6,11,17,2024,Washington Wizards
619,28,2023-12-22,10:00p,Away,Golden State Warriors,118,129,5,23,L 1,L,44,97,11,35,0.314,19,24,0.792,9,39,25,7,4,9,16,2024,Washington Wizards
620,29,2023-12-26,7:00p,Home,Orlando Magic,119,127,5,24,L 2,L,43,87,16,42,0.381,17,21,0.81,10,47,27,10,8,20,21,2024,Washington Wizards
621,30,2023-12-27,7:00p,Home,Toronto Raptors,102,132,5,25,L 3,L,42,90,8,33,0.242,10,15,0.667,10,34,25,11,3,16,17,2024,Washington Wizards
622,31,2023-12-29,7:00p,Home,Brooklyn Nets,110,104,6,25,W 1,W,46,91,15,38,0.395,3,7,0.429,8,43,28,5,5,6,19,2024,Washington Wizards
623,32,2023-12-31,3:00p,Home,Atlanta Hawks,126,130,6,26,L 1,L,46,98,17,53,0.321,17,21,0.81,6,42,35,5,9,9,21,2024,Washington Wizards
624,33,2024-01-03,7:00p,Away,Cleveland Cavaliers,101,140,6,27,L 2,L,42,101,12,35,0.343,5,11,0.455,12,36,22,8,5,8,14,2024,Washington Wizards
625,34,2024-01-05,7:30p,Away,Cleveland Cavaliers,90,114,6,28,L 3,L,35,84,9,30,0.3,11,15,0.733,7,31,19,12,8,16,19,2024,Washington Wizards
626,35,2024-01-06,7:00p,Home,New York Knicks,105,121,6,29,L 4,L,40,85,13,37,0.351,12,20,0.6,12,45,33,5,3,20,20,2024,Washington Wizards
627,36,2024-01-08,7:00p,Home,Oklahoma City Thunder,128,136,6,30,L 5,L,44,89,15,32,0.469,25,29,0.862,12,38,32,7,5,14,23,2024,Washington Wizards
628,37,2024-01-10,7:00p,Away,Indiana Pacers,104,112,6,31,L 6,L,38,88,7,31,0.226,21,30,0.7,13,46,24,8,8,13,23,2024,Washington Wizards
629,38,2024-01-13,7:30p,Away,Atlanta Hawks,127,99,7,31,W 1,W,47,97,12,32,0.375,21,26,0.808,12,54,32,10,9,12,22,2024,Washington Wizards
630,39,2024-01-15,3:00p,Home,Detroit Pistons,117,129,7,32,L 1,L,44,95,19,41,0.463,10,11,0.909,8,33,30,8,7,8,19,2024,Washington Wizards
631,40,2024-01-18,7:30p,Away,New York Knicks,109,113,7,33,L 2,L,41,90,10,31,0.323,17,22,0.773,9,46,31,9,4,12,24,2024,Washington Wizards
632,41,2024-01-20,7:00p,Home,San Antonio Spurs,127,131,7,34,L 3,L,49,103,9,29,0.31,20,23,0.87,14,46,28,10,4,11,21,2024,Washington Wizards
633,42,2024-01-21,6:00p,Home,Denver Nuggets,104,113,7,35,L 4,L,39,91,8,27,0.296,18,22,0.818,12,40,31,6,9,13,23,2024,Washington Wizards
634,43,2024-01-24,7:00p,Home,Minnesota Timberwolves,107,118,7,36,L 5,L,37,77,10,24,0.417,23,29,0.793,7,49,31,2,3,21,22,2024,Washington Wizards
635,44,2024-01-25,7:00p,Home,Utah Jazz,108,123,7,37,L 6,L,43,88,7,30,0.233,15,20,0.75,5,35,33,11,7,11,14,2024,Washington Wizards
636,45,2024-01-27,12:00p,Away,Detroit Pistons,118,104,8,37,W 1,W,45,100,11,34,0.324,17,21,0.81,16,50,26,10,4,9,19,2024,Washington Wizards
637,1,2023-10-25,7:30p,Away,Miami Heat,102,103,0,1,L 1,L,41,92,11,32,0.344,9,15,0.6,17,56,28,3,13,16,23,2024,Detroit Pistons
638,2,2023-10-27,7:00p,Away,Charlotte Hornets,111,99,1,1,W 1,W,40,88,10,30,0.333,21,25,0.84,12,53,28,7,6,23,29,2024,Detroit Pistons
639,3,2023-10-28,7:00p,Home,Chicago Bulls,118,102,2,1,W 2,W,45,86,12,28,0.429,16,20,0.8,15,53,29,4,4,15,18,2024,Detroit Pistons
640,4,2023-10-30,8:00p,Away,Oklahoma City Thunder,112,124,2,2,L 1,L,39,91,15,28,0.536,19,24,0.792,13,41,31,6,5,16,25,2024,Detroit Pistons
641,5,2023-11-01,7:00p,Home,Portland Trail Blazers,101,110,2,3,L 2,L,40,90,11,29,0.379,10,11,0.909,6,38,24,12,4,18,31,2024,Detroit Pistons
642,6,2023-11-02,8:00p,Away,New Orleans Pelicans,116,125,2,4,L 3,L,41,94,13,38,0.342,21,26,0.808,19,48,30,4,5,16,31,2024,Detroit Pistons
643,7,2023-11-05,3:00p,Home,Phoenix Suns,106,120,2,5,L 4,L,43,87,8,23,0.348,12,14,0.857,10,33,25,7,6,16,23,2024,Detroit Pistons
644,8,2023-11-06,7:00p,Home,Golden State Warriors,109,120,2,6,L 5,L,38,80,13,30,0.433,20,21,0.952,7,39,23,8,2,14,20,2024,Detroit Pistons
645,9,2023-11-08,8:00p,Away,Milwaukee Bucks,118,120,2,7,L 6,L,48,98,7,29,0.241,15,16,0.938,11,53,28,2,5,17,24,2024,Detroit Pistons
646,10,2023-11-10,7:00p,Home,Philadelphia 76ers,106,114,2,8,L 7,L,40,86,8,28,0.286,18,22,0.818,11,48,28,3,5,16,26,2024,Detroit Pistons
647,11,2023-11-12,7:00p,Away,Chicago Bulls,108,119,2,9,L 8,L,38,88,11,32,0.344,21,26,0.808,16,49,26,4,6,16,19,2024,Detroit Pistons
648,12,2023-11-14,7:00p,Home,Atlanta Hawks,120,126,2,10,L 9,L,47,90,10,29,0.345,16,23,0.696,14,42,36,9,6,17,20,2024,Detroit Pistons
649,13,2023-11-17,7:30p,Away,Cleveland Cavaliers,100,108,2,11,L 10,L,39,91,9,35,0.257,13,15,0.867,18,51,20,8,6,17,19,2024,Detroit Pistons
650,14,2023-11-19,4:00p,Away,Toronto Raptors,113,142,2,12,L 11,L,39,83,9,26,0.346,26,35,0.743,7,41,25,3,3,17,23,2024,Detroit Pistons
651,15,2023-11-20,7:00p,Home,Denver Nuggets,103,107,2,13,L 12,L,36,81,7,21,0.333,24,26,0.923,11,43,21,7,5,18,24,2024,Detroit Pistons
652,16,2023-11-24,8:00p,Away,Indiana Pacers,113,136,2,14,L 13,L,43,90,7,18,0.389,20,24,0.833,14,43,22,6,11,14,18,2024,Detroit Pistons
653,17,2023-11-27,7:00p,Home,Washington Wizards,107,126,2,15,L 14,L,43,102,8,38,0.211,13,19,0.684,18,49,29,7,11,16,22,2024,Detroit Pistons
654,18,2023-11-29,7:00p,Home,Los Angeles Lakers,107,133,2,16,L 15,L,40,97,15,36,0.417,12,14,0.857,10,39,28,8,3,14,31,2024,Detroit Pistons
655,19,2023-11-30,7:30p,Away,New York Knicks,112,118,2,17,L 16,L,43,81,15,35,0.429,11,17,0.647,8,42,22,4,3,20,25,2024,Detroit Pistons
656,20,2023-12-02,7:00p,Home,Cleveland Cavaliers,101,110,2,18,L 17,L,39,83,8,30,0.267,15,23,0.652,10,49,24,9,3,16,20,2024,Detroit Pistons
657,21,2023-12-06,7:00p,Home,Memphis Grizzlies,102,116,2,19,L 18,L,41,91,11,35,0.314,9,9,1,8,42,30,9,6,16,17,2024,Detroit Pistons
658,22,2023-12-08,7:00p,Away,Orlando Magic,91,123,2,20,L 19,L,34,81,6,30,0.2,17,24,0.708,8,38,17,3,2,15,17,2024,Detroit Pistons
659,23,2023-12-11,7:00p,Home,Indiana Pacers,123,131,2,21,L 20,L,45,81,10,29,0.345,23,30,0.767,6,30,26,11,4,14,18,2024,Detroit Pistons
660,24,2023-12-13,7:00p,Home,Philadelphia 76ers,111,129,2,22,L 21,L,39,88,10,33,0.303,23,30,0.767,6,35,24,6,3,9,22,2024,Detroit Pistons
661,25,2023-12-15,7:00p,Away,Philadelphia 76ers,92,124,2,23,L 22,L,35,81,4,21,0.19,18,23,0.783,7,42,19,3,7,21,25,2024,Detroit Pistons
662,26,2023-12-16,6:00p,Away,Milwaukee Bucks,114,146,2,24,L 23,L,43,96,6,28,0.214,22,26,0.846,10,36,25,10,4,8,23,2024,Detroit Pistons
663,27,2023-12-18,7:30p,Away,Atlanta Hawks,124,130,2,25,L 24,L,48,94,9,22,0.409,19,27,0.704,12,36,23,7,3,13,26,2024,Detroit Pistons
664,28,2023-12-21,7:00p,Home,Utah Jazz,111,119,2,26,L 25,L,43,86,9,31,0.29,16,19,0.842,12,41,24,6,9,20,19,2024,Detroit Pistons
665,29,2023-12-23,7:30p,Away,Brooklyn Nets,115,126,2,27,L 26,L,39,79,15,35,0.429,22,29,0.759,6,36,26,5,3,13,25,2024,Detroit Pistons
666,30,2023-12-26,7:00p,Home,Brooklyn Nets,112,118,2,28,L 27,L,40,90,9,25,0.36,23,32,0.719,16,52,20,6,4,13,27,2024,Detroit Pistons
667,31,2023-12-28,7:30p,Away,Boston Celtics,122,128,2,29,L 28,L,48,101,14,43,0.326,12,19,0.632,19,57,27,7,4,18,21,2024,Detroit Pistons
668,32,2023-12-30,6:00p,Home,Toronto Raptors,129,127,3,29,W 1,W,41,82,12,28,0.429,35,40,0.875,6,41,29,4,4,11,22,2024,Detroit Pistons
669,33,2024-01-01,8:00p,Away,Houston Rockets,113,136,3,30,L 1,L,40,83,13,29,0.448,20,27,0.741,10,37,27,3,4,17,21,2024,Detroit Pistons
670,34,2024-01-03,9:00p,Away,Utah Jazz,148,154,3,31,L 2,L,56,105,19,41,0.463,17,22,0.773,16,48,33,5,3,17,27,2024,Detroit Pistons
671,35,2024-01-05,10:00p,Away,Golden State Warriors,109,113,3,32,L 3,L,44,98,13,44,0.295,8,10,0.8,10,40,25,8,9,11,23,2024,Detroit Pistons
672,36,2024-01-07,8:00p,Away,Denver Nuggets,114,131,3,33,L 4,L,42,89,9,24,0.375,21,30,0.7,13,37,28,6,0,11,20,2024,Detroit Pistons
673,37,2024-01-09,7:00p,Home,Sacramento Kings,110,131,3,34,L 5,L,40,85,14,37,0.378,16,21,0.762,13,40,27,12,2,21,19,2024,Detroit Pistons
674,38,2024-01-10,7:00p,Home,San Antonio Spurs,108,130,3,35,L 6,L,44,96,10,32,0.313,10,13,0.769,9,43,33,4,3,10,19,2024,Detroit Pistons
675,39,2024-01-12,7:30p,Home,Houston Rockets,110,112,3,36,L 7,L,44,88,12,35,0.343,10,16,0.625,11,46,32,6,9,14,21,2024,Detroit Pistons
676,40,2024-01-15,3:00p,Away,Washington Wizards,129,117,4,36,W 1,W,50,90,12,31,0.387,17,23,0.739,12,52,30,4,10,15,13,2024,Detroit Pistons
677,41,2024-01-17,7:00p,Home,Minnesota Timberwolves,117,124,4,37,L 1,L,46,89,12,31,0.387,13,19,0.684,8,40,30,4,7,12,18,2024,Detroit Pistons
678,42,2024-01-20,3:00p,Home,Milwaukee Bucks,135,141,4,38,L 2,L,44,94,21,37,0.568,26,32,0.813,9,40,30,6,2,8,30,2024,Detroit Pistons
679,43,2024-01-22,7:00p,Home,Milwaukee Bucks,113,122,4,39,L 3,L,40,89,10,30,0.333,23,29,0.793,6,42,25,4,9,10,25,2024,Detroit Pistons
680,44,2024-01-24,7:00p,Home,Charlotte Hornets,113,106,5,39,W 1,W,43,86,15,38,0.395,12,20,0.6,5,44,26,4,0,11,17,2024,Detroit Pistons
681,45,2024-01-27,12:00p,Home,Washington Wizards,104,118,5,40,L 1,L,37,85,9,32,0.281,21,27,0.778,11,45,22,2,8,17,20,2024,Detroit Pistons
682,46,2024-01-28,2:00p,Home,Oklahoma City Thunder,120,104,6,40,W 1,W,47,95,11,26,0.423,15,19,0.789,15,53,27,6,2,9,11,2024,Detroit Pistons
683,1,2023-10-25,8:00p,Away,Chicago Bulls,124,104,1,0,W 1,W,45,82,19,39,0.487,15,18,0.833,5,43,30,6,4,15,19,2024,Oklahoma City Thunder
684,2,2023-10-27,7:30p,Away,Cleveland Cavaliers,108,105,2,0,W 2,W,40,87,13,26,0.5,15,19,0.789,6,47,22,8,10,18,17,2024,Oklahoma City Thunder
685,3,2023-10-29,3:30p,Home,Denver Nuggets,95,128,2,1,L 1,L,37,90,6,32,0.188,15,18,0.833,7,29,22,8,4,9,14,2024,Oklahoma City Thunder
686,4,2023-10-30,8:00p,Home,Detroit Pistons,124,112,3,1,W 1,W,44,83,13,29,0.448,23,28,0.821,6,44,21,9,10,15,19,2024,Oklahoma City Thunder
687,5,2023-11-01,7:30p,Home,New Orleans Pelicans,106,110,3,2,L 1,L,38,88,7,34,0.206,23,25,0.92,6,49,23,6,5,14,24,2024,Oklahoma City Thunder
688,6,2023-11-03,8:00p,Home,Golden State Warriors,139,141,3,3,L 2,L,50,83,15,29,0.517,24,30,0.8,7,32,26,3,1,19,20,2024,Oklahoma City Thunder
689,7,2023-11-06,8:00p,Home,Atlanta Hawks,126,117,4,3,W 1,W,45,94,14,35,0.4,22,23,0.957,11,49,27,7,7,13,22,2024,Oklahoma City Thunder
690,8,2023-11-08,8:00p,Home,Cleveland Cavaliers,128,120,5,3,W 2,W,44,86,12,28,0.429,28,30,0.933,12,41,23,10,8,14,27,2024,Oklahoma City Thunder
691,9,2023-11-10,10:00p,Away,Sacramento Kings,98,105,5,4,L 1,L,39,87,7,30,0.233,13,16,0.813,5,38,22,9,5,16,15,2024,Oklahoma City Thunder
692,10,2023-11-12,8:00p,Away,Phoenix Suns,111,99,6,4,W 1,W,40,82,10,27,0.37,21,25,0.84,6,33,23,9,8,7,21,2024,Oklahoma City Thunder
693,11,2023-11-14,7:30p,Home,San Antonio Spurs,123,87,7,4,W 2,W,46,89,15,39,0.385,16,20,0.8,4,40,34,19,6,15,17,2024,Oklahoma City Thunder
694,12,2023-11-16,10:00p,Away,Golden State Warriors,128,109,8,4,W 3,W,44,87,19,32,0.594,21,23,0.913,7,42,31,10,3,12,20,2024,Oklahoma City Thunder
695,13,2023-11-18,8:30p,Away,Golden State Warriors,130,123,9,4,W 4,W,52,100,8,23,0.348,18,20,0.9,9,47,26,8,7,10,16,2024,Oklahoma City Thunder
696,14,2023-11-19,9:00p,Away,Portland Trail Blazers,134,91,10,4,W 5,W,49,81,22,36,0.611,14,14,1,10,43,28,8,3,17,18,2024,Oklahoma City Thunder
697,15,2023-11-22,8:00p,Home,Chicago Bulls,116,102,11,4,W 6,W,37,75,11,29,0.379,31,38,0.816,11,45,24,4,12,12,17,2024,Oklahoma City Thunder
698,16,2023-11-25,5:00p,Home,Philadelphia 76ers,123,127,11,5,L 1,L,43,98,16,43,0.372,21,26,0.808,13,38,29,3,3,4,27,2024,Oklahoma City Thunder
699,17,2023-11-28,8:00p,Away,Minnesota Timberwolves,103,106,11,6,L 2,L,37,90,11,30,0.367,18,23,0.783,9,36,22,8,4,8,23,2024,Oklahoma City Thunder
700,18,2023-11-30,8:00p,Home,Los Angeles Lakers,133,110,12,6,W 1,W,50,94,14,42,0.333,19,22,0.864,8,48,29,9,6,7,24,2024,Oklahoma City Thunder
701,19,2023-12-02,9:00p,Away,Dallas Mavericks,126,120,13,6,W 2,W,44,100,20,44,0.455,18,22,0.818,16,50,24,8,5,12,24,2024,Oklahoma City Thunder
702,20,2023-12-06,8:00p,Away,Houston Rockets,101,110,13,7,L 1,L,37,87,8,29,0.276,19,24,0.792,4,30,22,14,10,8,21,2024,Oklahoma City Thunder
703,21,2023-12-08,8:00p,Home,Golden State Warriors,138,136,14,7,W 1,W,51,98,5,29,0.172,31,36,0.861,11,39,15,17,7,9,22,2024,Oklahoma City Thunder
704,22,2023-12-11,8:00p,Home,Utah Jazz,134,120,15,7,W 2,W,50,96,18,38,0.474,16,17,0.941,7,39,35,9,7,12,17,2024,Oklahoma City Thunder
705,23,2023-12-14,10:00p,Away,Sacramento Kings,123,128,15,8,L 1,L,44,102,11,36,0.306,24,27,0.889,16,44,26,8,7,13,25,2024,Oklahoma City Thunder
706,24,2023-12-16,9:00p,Away,Denver Nuggets,118,117,16,8,W 1,W,43,84,7,21,0.333,25,30,0.833,9,40,22,4,9,10,19,2024,Oklahoma City Thunder
707,25,2023-12-18,8:00p,Home,Memphis Grizzlies,116,97,17,8,W 2,W,42,92,11,36,0.306,21,23,0.913,10,53,31,11,10,12,18,2024,Oklahoma City Thunder
708,26,2023-12-21,8:00p,Home,Los Angeles Clippers,134,115,18,8,W 3,W,51,87,16,34,0.471,16,18,0.889,6,38,35,9,5,11,11,2024,Oklahoma City Thunder
709,27,2023-12-23,8:00p,Home,Los Angeles Lakers,120,129,18,9,L 1,L,46,95,13,41,0.317,15,19,0.789,11,42,24,6,7,9,17,2024,Oklahoma City Thunder
710,28,2023-12-26,8:00p,Home,Minnesota Timberwolves,129,106,19,9,W 1,W,49,81,18,39,0.462,13,16,0.813,3,29,35,9,7,11,24,2024,Oklahoma City Thunder
711,29,2023-12-27,8:00p,Home,New York Knicks,129,120,20,9,W 2,W,49,90,14,32,0.438,17,22,0.773,3,27,20,6,10,4,21,2024,Oklahoma City Thunder
712,30,2023-12-29,9:00p,Away,Denver Nuggets,119,93,21,9,W 3,W,46,91,12,35,0.343,15,16,0.938,10,51,29,10,8,11,20,2024,Oklahoma City Thunder
713,31,2023-12-31,7:00p,Home,Brooklyn Nets,124,108,22,9,W 4,W,45,83,18,33,0.545,16,20,0.8,5,46,31,1,6,13,24,2024,Oklahoma City Thunder
714,32,2024-01-02,8:00p,Home,Boston Celtics,127,123,23,9,W 5,W,48,91,18,40,0.45,13,17,0.765,10,38,34,7,10,10,22,2024,Oklahoma City Thunder
715,33,2024-01-03,7:30p,Away,Atlanta Hawks,138,141,23,10,L 1,L,50,91,18,36,0.5,20,26,0.769,9,37,30,10,1,13,23,2024,Oklahoma City Thunder
716,34,2024-01-05,7:30p,Away,Brooklyn Nets,115,124,23,11,L 2,L,45,84,9,31,0.29,16,24,0.667,7,36,29,8,5,13,26,2024,Oklahoma City Thunder
717,35,2024-01-08,7:00p,Away,Washington Wizards,136,128,24,11,W 1,W,52,88,14,28,0.5,18,24,0.75,10,40,37,11,7,14,21,2024,Oklahoma City Thunder
718,36,2024-01-10,7:30p,Away,Miami Heat,128,120,25,11,W 2,W,51,86,14,33,0.424,12,16,0.75,4,42,36,4,4,12,19,2024,Oklahoma City Thunder
719,37,2024-01-11,8:00p,Home,Portland Trail Blazers,139,77,26,11,W 3,W,53,93,14,35,0.4,19,22,0.864,8,59,41,6,8,12,10,2024,Oklahoma City Thunder
720,38,2024-01-13,8:00p,Home,Orlando Magic,112,100,27,11,W 4,W,43,94,8,36,0.222,18,21,0.857,12,46,23,9,4,8,19,2024,Oklahoma City Thunder
721,39,2024-01-15,10:30p,Away,Los Angeles Lakers,105,112,27,12,L 1,L,40,96,15,49,0.306,10,11,0.909,13,40,23,11,6,11,18,2024,Oklahoma City Thunder
722,40,2024-01-16,10:00p,Away,Los Angeles Clippers,117,128,27,13,L 2,L,42,83,16,34,0.471,17,20,0.85,9,35,30,5,5,12,19,2024,Oklahoma City Thunder
723,41,2024-01-18,9:00p,Away,Utah Jazz,134,129,28,13,W 1,W,48,86,14,32,0.438,24,28,0.857,7,38,36,8,10,15,29,2024,Oklahoma City Thunder
724,42,2024-01-20,8:00p,Away,Minnesota Timberwolves,102,97,29,13,W 2,W,32,81,8,24,0.333,30,35,0.857,9,37,21,12,4,8,20,2024,Oklahoma City Thunder
725,43,2024-01-23,8:00p,Home,Portland Trail Blazers,111,109,30,13,W 3,W,43,89,7,23,0.304,18,28,0.643,10,43,23,9,10,12,18,2024,Oklahoma City Thunder
